recclass,average_mass
"Iron, IVB",4322832.857
"Iron, IIIE",2076114.429
"Iron, IAB-MG",1301547.231
"Iron, IC",892556.3
Mesosiderite-A1,698206.3333
"Iron, IAB-ung",686004.9674
"Pallasite, PMG-an",685358.9091
"Iron, IIIAB",488805.947
"Iron, IVA",463545.4791
"Iron, ungrouped",422159.3986
Mesosiderite-B4,359333.3333
"Iron, IIAB",322715.8602
Mesosiderite-A3/4,320000
"Iron, IIIAB-an",240233.3333
"Iron, IAB complex",180809.1978
"Iron, IAB-sLL",164194.6407
"Pallasite, PMG",147304.7368
CR-an,114000
"Iron, IVA-an",73986.66667
L4-6,70540.47121
"Iron, IID",67423.61579
Aubrite,67150.61333
"Iron, IIIE-an",58400
EL6/7,58150
E,57210.88429
"Iron, IIIF",55777.26667
"Iron, IIE-an",53137.04571
H3.8-4,50000
CBa,44043.2
"Iron, IIE",42413
"Pallasite, PES",42167.5
L/LL5,39847.48125
"Iron, IC-an",35000
Mesosiderite-C,34843.85714
Iron,32316.30579
Mesosiderite-A3,30666.66667
H/L3.6,28000
"Iron, IIC",26483.375
Mesosiderite-C2,25613
CO3.2,25598.88875
"Iron, IIG",24303.16667
L/LL4,22547.43335
L6-melt rock,22000
"Iron, IAB-sLM",19816.1
Mesosiderite-A4,19166.66667
CH/CBb,16000
Pallasite?,14180
L3.8-an,14040
L/LL6,12365.51077
Mesosiderite-B2,11857.342
"Iron, IID-an",11790
"Iron, IIF",11156
Stone-uncl,10750.52833
"Iron, IAB-sHL",9438.261176
L4-5,9275.753333
H3-4,9010.016
CV3,8953.690184
L5-6,8938.002195
Aubrite-an,8390.77
CO3.8,7901.666667
"Iron, IIIAB?",7795.5
EH4,7701.782222
"Iron, IAB-sLH",7382.566667
"Pallasite, ungrouped",7310.786
H/L3.9,7250
H3.6,7203.912714
H3-6,6941.478372
Eucrite-an,6463
Pallasite,6319.56
Mesosiderite-A,6234.75
L3.7-6,6100
Eucrite-mmict,5963.286019
L/LL6-an,5900
L6/7,5855.368889
L3.5-5,5590
H3.9/4,5587.546
L4-melt breccia,5200
Mesosiderite-A2,4949
LL3.6,4852.049412
CO3.5,4799.423333
EH7-an,4720
EH5,4654.038333
LL3.2,4478.73
CO3.3,4314.801429
Mesosiderite,4135.128588
H5-7,3891
"Iron, IAB-sHH",3862.2
L3-6,3800.45625
L/LL4-6,3650
H3.7,3635.498267
H,3537.492841
LL3.8-4,3500
LL3.7,3452.726538
L/LL5-6,3287
LL(L)3.1,3200
Enst achon-ung,3147.666667
OC,3133.017534
L,3130.59006
R3.9,3055.7475
L/LL3.4,2994.5275
